name,category,missing_fields
"זרוע תקרה ישרה (Ceiling Boom)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"זרוע תקרה כפול (Dual Ceiling Boom)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"1/2 מטאטא תקרה וקירות (1/2″ Ceiling & Wall Boom)","אביזרים לשטיפת רכב","description; pdfUrl; videoUrl"
"זרוע קיר (Wall-Boom)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מאריך זרוע לקיר (Wall-Boom-Extension)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"זרוע למערכת אוויר (Air-System Boom)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מעמד למערכת אוויר (Air-System Stand)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מייבש Mosmatic (Mosmatic Dryer)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"זרוע אנכית (Vertical Boom)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מפרץ ניקוי (Bay-Packages)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"דיזה לMOSג'ט (MOSjet Nozzles)","אביזרים לשטיפת רכב","description; pdfUrl; subHeader"
"למוט רצפתי (Wand Holder)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מיכל למברשת רצפתי (Brush Bucket)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"אקדח (HP (HP Guns","אביזרים לשטיפת רכב","description; pdfUrl; videoUrl; subHeader"
"מוטות (HP (HP-Lances","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מוטות הברשה (Foam Brushes)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מוצרי קצף אקדח, וסת, ראש (Foam Products)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מוצרי קצף אקדח, וסת, ראש (Foam Products)","אביזרים לשטיפת רכב","description; pdfUrl; videoUrl; subHeader"
"שטיפת הדף לגלגלים (Wheelblaster)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מנקה תחתי (Undercarriage Cleaner Stat)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"רמפה לניקוי (Undercarriage Cleaner Ramp)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"מגן מפני מים (Splash Guard)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"ראש ניקוי עכביש (Spider)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"זרועות חוגה (Rotor Arms)","אביזרים לשטיפת רכב","pdfUrl; videoUrl"
"אביזרים (Accessories)","אביזרים לשטיפת רכב","description; subHeader; bulletPoints"
"מחבר סיבובי DGR","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl"
"מחבר סיבובי DGEI","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי DGE","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl"
"מחבר סיבובי DKS","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי DGS","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl"
"מחבר סיבובי - סביבל DGK","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי DGVI","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי DGV","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl"
"מחבר סיבובי WDRS","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; subHeader; bulletPoints"
"מחבר סיבובי WDG","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"מחבר סיבובי WDEI","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"מחבר סיבובי WDE","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי WDB","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"מחבר סיבובי DYCI / DYDI","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYF","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYG","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYL","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXTI","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXF","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXG","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXLS/DXGS/DXFS","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXL","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DGF","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DGG","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DGL","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYW","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYT / DYU","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYKI","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"Cat_456349_390","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"Cat_456349_390","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"מחבר סיבובי DYCI / DYDI","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYF","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYG","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYL","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXTI","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXF","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXG","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXLS/DXGS/DXFS","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DXL","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DGF","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DGG","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DGL","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי WDRS","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; subHeader; bulletPoints"
"מחבר סיבובי WDG","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"מחבר סיבובי WDEI","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"מחבר סיבובי WDE","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי WDB","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"מחבר סיבובי DYW","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYT / DYU","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DYKI","מחבר סיבובי - סביבל","sku; pdfUrl; videoUrl; bulletPoints"
"מחבר סיבובי DGR","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl"
"מחבר סיבובי DGEI","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי DGE","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl"
"מחבר סיבובי DKS","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי DGS","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl"
"מחבר סיבובי - סביבל DGK","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי DGVI","מחבר סיבובי - סביבל","sku; description; pdfUrl; subHeader"
"מחבר סיבובי DGV","מחבר סיבובי - סביבל","sku; description; pdfUrl; videoUrl"
"מכונת שטיפה בלחץ מים חמים 200 בר 15 ליטר לדקה Power wash","מכונות שטיפה בלחץ מים","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"מכונת שטיפה בלחץ מים קרים חשמלית HYPER C 20015 LP  lavor","מכונות שטיפה בלחץ מים","sku; description; pdfUrl; videoUrl"
"מסיר מסטיקים (Gum Remover)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מקצועי (Professional)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"רב תכליתי (Allrounder)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"הליקופטר רב תכליתי (AQUA)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"הליקופטר רב תכליתי פרו (AQUA-PROׁׁׁׂׂׂ)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מסיר גרפיטי (Graffiti Remover)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"קבלן (Contractor)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"הליקופטר + אקדח (Contractor Big)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מסחרי (Commercial)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"כללי (Universal)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מנקה הקיטור (Steaminator)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"הוריקן פליפ (Hurricane_Flip_EU)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"הוריקן (Hurricane)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"הוריקן פרו (Hurricane Pro)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מנקה גגות (Roof Cleaner)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מחבר סיבובי WDC","ציוד ניקוי מקצועי בלחץ מים","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"חלקי חילוף (Surface Cleaner Upgrade Kit)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מנקה תעלות (Duct Cleaner)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מוט TRL","ציוד ניקוי מקצועי בלחץ מים","pdfUrl; videoUrl"
"מוטות שטיפה מיוחדים (HP Special Lances)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מנקה ביובים (Manhole Cleaner)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"מנקה מיכלים (Tank Cleaner)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"ראש ניקוי עכביש (Spider)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"אקדחי HP","ציוד ניקוי מקצועי בלחץ מים","pdfUrl; videoUrl"
"זרועות חוגה (Rotor Arms)","ציוד ניקוי מקצועי בלחץ מים","pdfUrl; videoUrl; bulletPoints"
"דיזות (Nozzles)","ציוד ניקוי מקצועי בלחץ מים","pdfUrl; videoUrl; bulletPoints"
"דיזה טורבו (Turbo Nozzles)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"פרזול (Fittings)","ציוד ניקוי מקצועי בלחץ מים","pdfUrl; videoUrl; bulletPoints"
"מחברים (Quick Connection)","ציוד ניקוי מקצועי בלחץ מים","pdfUrl; videoUrl; bulletPoints"
"מחברים (Quick Connection)","ציוד ניקוי מקצועי בלחץ מים","pdfUrl; videoUrl; bulletPoints"
"מפרקים (Toggle Joints)","ציוד ניקוי מקצועי בלחץ מים","description; pdfUrl; videoUrl"
"חלקים (Accessories)","ציוד ניקוי מקצועי בלחץ מים","pdfUrl; videoUrl; bulletPoints"
"שאוב אבק ביתי 1300W ביתי","שואבי אבק","sku; description; pdfUrl; videoUrl; subHeader"
"מכשיר ניקיון בקיטור","שואבי אבק","sku; description; pdfUrl; videoUrl; subHeader"
"שואב יבש רטוב 3 מנועים גוף פלסטיק","שואבי אבק","sku; description; pdfUrl; videoUrl; subHeader"
"שואב 3 מנועים יבש רטוב","שואבי אבק","sku; description; pdfUrl; videoUrl; subHeader"
"שואב נוזלים עם משאבה פנימית","שואבי אבק","sku; description; pdfUrl; videoUrl; bulletPoints"
"ידית הארכה","R+M","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"דיזה טורבו 500 בר","R+M","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"דיזה טורבו 1000 בר עד 90°C","R+M","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"HP HOSE REEL AUTOMATIC","R+M","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"76353230-g","R+M","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"גלגלת צינור אוטומטי 15 מ '1/2","R+M","sku; description; pdfUrl; videoUrl; subHeader; bulletPoints"
"עמדת היגיינה למניעת הדבקה בנגיף הקורונה","R+M","sku; description; pdfUrl; videoUrl; subHeader"